City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Busselton,-33.65,115.3333,68.95,88,93,10.11,AU,2022-04-02 20:35:04,overcast clouds
1,Coahuayana,18.7333,-103.6833,85.5,44,91,7.65,MX,2022-04-02 20:35:04,overcast clouds
2,Pacifica,37.6138,-122.4869,77.65,63,40,5.01,US,2022-04-02 20:35:05,scattered clouds
3,Hobart,-42.8794,147.3294,55.26,84,100,8.05,AU,2022-04-02 20:30:13,overcast clouds
4,Avarua,-21.2078,-159.775,82.45,74,75,5.75,CK,2022-04-02 20:35:05,broken clouds
5,Albany,42.6001,-73.9662,51.58,34,40,3.0,US,2022-04-02 20:35:05,scattered clouds
6,Kenai,60.5544,-151.2583,42.89,65,0,8.05,US,2022-04-02 20:35:06,clear sky
7,Vaini,-21.2,-175.2,78.96,94,75,0.0,TO,2022-04-02 20:35:06,broken clouds
8,Maceio,-9.6658,-35.7353,83.64,65,0,11.5,BR,2022-04-02 20:35:06,clear sky
9,Ancud,-41.8697,-73.8203,50.23,64,50,15.73,CL,2022-04-02 20:31:51,light rain
10,Tuktoyaktuk,69.4541,-133.0374,-14.8,70,40,10.36,CA,2022-04-02 20:35:07,scattered clouds
11,Port Blair,11.6667,92.75,80.64,83,40,2.3,IN,2022-04-02 20:35:07,mist
12,Saint George,37.1041,-113.5841,81.63,19,0,8.99,US,2022-04-02 20:30:18,clear sky
13,Bluff,-46.6,168.3333,57.31,73,90,19.8,NZ,2022-04-02 20:35:08,overcast clouds
14,Tasiilaq,65.6145,-37.6368,30.36,94,100,22.55,GL,2022-04-02 20:35:08,snow
15,Vardo,70.3705,31.1107,27.25,69,100,6.71,NO,2022-04-02 20:35:08,overcast clouds
16,Kavieng,-2.5744,150.7967,77.22,90,100,7.0,PG,2022-04-02 20:35:09,moderate rain
17,Tiksi,71.6872,128.8694,-7.35,100,100,4.92,RU,2022-04-02 20:35:09,overcast clouds
18,Victoria,22.2855,114.1577,62.26,67,96,5.01,HK,2022-04-02 20:33:42,overcast clouds
19,Punta Arenas,-53.15,-70.9167,44.71,81,40,10.36,CL,2022-04-02 20:35:09,scattered clouds
20,Mataura,-46.1927,168.8643,51.82,87,67,2.91,NZ,2022-04-02 20:35:10,broken clouds
21,Cabo San Lucas,22.8909,-109.9124,80.62,60,20,19.57,MX,2022-04-02 20:31:03,few clouds
22,Georgetown,5.4112,100.3354,76.95,94,20,3.44,MY,2022-04-02 20:32:21,few clouds
23,Constitucion,-35.3333,-72.4167,61.65,84,56,14.43,CL,2022-04-02 20:35:10,broken clouds
24,Rikitea,-23.1203,-134.9692,74.39,55,17,5.64,PF,2022-04-02 20:35:11,few clouds
25,Ushuaia,-54.8,-68.3,40.66,93,100,4.61,AR,2022-04-02 20:33:18,light intensity drizzle
26,Kapaa,22.0752,-159.319,78.19,84,100,18.41,US,2022-04-02 20:35:11,heavy intensity rain
27,Narsaq,60.9167,-46.05,41.22,93,100,1.1,GL,2022-04-02 20:35:11,overcast clouds
28,Norman Wells,65.282,-126.8329,-3.96,50,20,6.91,CA,2022-04-02 20:35:12,few clouds
29,Lata,40.1629,-8.3327,43.43,59,52,3.04,PT,2022-04-02 20:35:12,broken clouds
30,Yellowknife,62.456,-114.3525,3.72,46,20,2.3,CA,2022-04-02 20:35:12,few clouds
31,Upernavik,72.7868,-56.1549,12.61,95,92,12.5,GL,2022-04-02 20:35:13,overcast clouds
32,Tura,25.5198,90.2201,69.13,91,19,2.98,IN,2022-04-02 20:35:13,few clouds
33,Praia Da Vitoria,38.7333,-27.0667,62.85,77,20,9.19,PT,2022-04-02 20:35:13,few clouds
34,Vila Franca Do Campo,37.7167,-25.4333,59.41,80,23,5.03,PT,2022-04-02 20:35:14,few clouds
35,Esperance,-33.8667,121.9,64.24,53,13,12.93,AU,2022-04-02 20:35:14,few clouds
36,Chokurdakh,70.6333,147.9167,-1.26,94,100,4.59,RU,2022-04-02 20:35:14,overcast clouds
37,Mar Del Plata,-38.0023,-57.5575,69.82,64,0,20.0,AR,2022-04-02 20:35:15,clear sky
38,Asau,46.4333,26.4,45.95,94,100,0.98,RO,2022-04-02 20:35:15,overcast clouds
39,Hofn,64.2539,-15.2082,43.63,71,100,3.69,IS,2022-04-02 20:35:16,light rain
40,Port Hedland,-20.3167,118.5667,80.65,78,55,9.22,AU,2022-04-02 20:35:16,broken clouds
41,Mato Verde,-15.3972,-42.8664,80.46,41,25,5.14,BR,2022-04-02 20:35:16,scattered clouds
42,Waipawa,-41.4122,175.5153,58.14,86,35,0.81,NZ,2022-04-02 20:35:17,scattered clouds
43,Villazon,-22.0866,-65.5942,67.53,12,6,22.03,BO,2022-04-02 20:35:17,clear sky
44,Hilo,19.7297,-155.09,76.24,91,100,9.22,US,2022-04-02 20:34:13,overcast clouds
45,Spirit River,55.7833,-118.8361,39.63,27,13,16.64,CA,2022-04-02 20:35:19,few clouds
46,Lebu,-37.6167,-73.65,58.69,96,100,10.56,CL,2022-04-02 20:38:26,overcast clouds
47,Bonfim,3.0833,-59.95,92.34,42,83,9.57,BR,2022-04-02 20:38:26,broken clouds
48,Port Elizabeth,-33.918,25.5701,63.32,91,100,1.14,ZA,2022-04-02 20:38:27,moderate rain
49,Nome,64.5011,-165.4064,20.16,42,0,8.05,US,2022-04-02 20:38:27,clear sky
50,Port Alfred,-33.5906,26.891,64.18,91,100,1.01,ZA,2022-04-02 20:34:15,overcast clouds
51,Hithadhoo,-0.6,73.0833,82.85,70,12,6.17,MV,2022-04-02 20:38:27,few clouds
52,Kodiak,57.79,-152.4072,36.91,93,20,5.75,US,2022-04-02 20:38:28,moderate rain
53,Morganton,35.7454,-81.6848,62.11,40,100,4.0,US,2022-04-02 20:35:42,overcast clouds
54,Jamalpur,24.9167,89.9333,74.19,90,74,5.08,BD,2022-04-02 20:38:28,broken clouds
55,Komsomolskiy,40.4272,71.7189,57.92,58,1,6.91,UZ,2022-04-02 20:38:29,clear sky
56,Tambura,5.6,27.4667,78.62,53,81,4.94,SS,2022-04-02 20:38:29,broken clouds
57,Ribeira Grande,38.5167,-28.7,61.2,67,40,13.8,PT,2022-04-02 20:38:29,scattered clouds
58,Chazuta,-6.5742,-76.1367,81.45,73,91,0.2,PE,2022-04-02 20:38:29,overcast clouds
59,Dingle,10.9995,122.6711,74.71,87,87,7.29,PH,2022-04-02 20:38:30,overcast clouds
60,Madera,37.1666,-119.8343,79.52,44,93,1.01,US,2022-04-02 20:38:15,overcast clouds
61,Saint-Philippe,-21.3585,55.7679,76.59,98,100,21.12,RE,2022-04-02 20:38:30,very heavy rain
62,Bredasdorp,-34.5322,20.0403,61.84,78,76,13.47,ZA,2022-04-02 20:38:31,light rain
63,Mitsamiouli,-11.3847,43.2844,81.12,76,4,5.08,KM,2022-04-02 20:38:31,clear sky
64,Zhigansk,66.7697,123.3711,-2.29,100,100,6.15,RU,2022-04-02 20:38:31,overcast clouds
65,Payo,-3.7508,103.6372,72.59,92,97,2.01,ID,2022-04-02 20:38:32,light rain
66,Castro,-24.7911,-50.0119,60.51,95,100,5.46,BR,2022-04-02 20:35:31,overcast clouds
67,Ayorou,14.7308,0.9174,89.78,9,31,6.91,NE,2022-04-02 20:38:32,scattered clouds
68,Atuona,-9.8,-139.0333,79.36,76,4,15.12,PF,2022-04-02 20:38:32,clear sky
69,Chuy,-33.6971,-53.4616,65.53,63,3,11.18,UY,2022-04-02 20:38:33,clear sky
70,Barrow,71.2906,-156.7887,-7.58,84,0,10.36,US,2022-04-02 20:37:39,haze
71,Fort Nelson,58.8053,-122.7002,17.19,62,40,0.0,CA,2022-04-02 20:38:33,scattered clouds
72,Tacuarembo,-31.7333,-55.9833,68.76,57,0,5.39,UY,2022-04-02 20:38:34,clear sky
73,Caravelas,-17.7125,-39.2481,77.95,78,0,5.68,BR,2022-04-02 20:38:34,clear sky
74,Ningyang,35.7642,116.7914,44.17,63,0,2.95,CN,2022-04-02 20:38:34,clear sky
75,Atar,20.5169,-13.0499,79.97,13,1,6.69,MR,2022-04-02 20:38:34,clear sky
76,Half Moon Bay,37.4636,-122.4286,78.55,59,40,3.44,US,2022-04-02 20:36:55,scattered clouds
77,Lavrentiya,65.5833,-171.0,9.32,73,1,13.31,RU,2022-04-02 20:38:35,clear sky
78,Cururupu,-1.8283,-44.8683,77.34,89,56,4.32,BR,2022-04-02 20:38:35,broken clouds
79,Fairbanks,64.8378,-147.7164,19.24,58,100,4.61,US,2022-04-02 20:38:19,overcast clouds
80,Pascagoula,30.3658,-88.5561,77.05,40,100,10.36,US,2022-04-02 20:38:36,overcast clouds
81,Sinegorye,62.0788,150.477,1.36,94,100,0.36,RU,2022-04-02 20:38:37,overcast clouds
82,Jamestown,42.097,-79.2353,48.52,42,0,5.99,US,2022-04-02 20:38:37,clear sky
83,Souillac,-20.5167,57.5167,75.58,94,75,11.5,MU,2022-04-02 20:38:38,light rain
84,Kiama,-34.6833,150.8667,64.38,77,87,5.01,AU,2022-04-02 20:35:17,overcast clouds
85,Grand Gaube,-20.0064,57.6608,75.6,90,100,5.01,MU,2022-04-02 20:38:38,overcast clouds
86,Bethel,41.3712,-73.414,55.58,37,0,8.05,US,2022-04-02 20:38:39,clear sky
87,San Julian,21.0167,-102.1667,85.73,8,3,10.96,MX,2022-04-02 20:38:39,clear sky
88,Najran,17.4924,44.1277,68.65,18,0,0.4,SA,2022-04-02 20:38:39,clear sky
89,Ada,43.4166,-116.1262,57.09,30,20,21.99,US,2022-04-02 20:38:39,few clouds
90,Ngunguru,-35.6167,174.5,66.18,75,99,0.81,NZ,2022-04-02 20:38:40,overcast clouds
91,Kruisfontein,-34.0033,24.7314,60.89,84,99,7.54,ZA,2022-04-02 20:38:40,overcast clouds
92,Garwolin,51.8975,21.6147,35.71,92,100,1.01,PL,2022-04-02 20:39:42,overcast clouds
93,Haverfordwest,51.8017,-4.9691,41.05,88,9,6.98,GB,2022-04-02 20:39:42,clear sky
94,Mangan,27.5167,88.5333,70.03,91,100,0.56,IN,2022-04-02 20:39:42,overcast clouds
95,Geraldton,-28.7667,114.6,73.81,94,100,6.91,AU,2022-04-02 20:39:43,overcast clouds
96,Qaanaaq,77.484,-69.3632,12.52,81,87,4.56,GL,2022-04-02 20:39:43,overcast clouds
97,Roald,62.5833,6.1333,39.16,87,100,10.36,NO,2022-04-02 20:39:43,light rain
98,Cap Malheureux,-19.9842,57.6142,74.46,90,100,7.0,MU,2022-04-02 20:39:44,overcast clouds
99,Flin Flon,54.7682,-101.865,28.24,59,40,5.75,CA,2022-04-02 20:39:44,scattered clouds
100,Bengkulu,-3.8004,102.2655,75.33,81,94,5.19,ID,2022-04-02 20:39:44,overcast clouds
101,Mata,40.683,-7.4592,39.4,56,25,4.09,PT,2022-04-02 20:39:44,scattered clouds
102,Ayr,55.4627,-4.6339,39.18,75,20,1.14,GB,2022-04-02 20:36:03,few clouds
103,Pacific Grove,36.6177,-121.9166,70.39,76,0,10.0,US,2022-04-02 20:39:45,clear sky
104,Ponta Do Sol,32.6667,-17.1,63.01,82,100,6.98,PT,2022-04-02 20:39:45,overcast clouds
105,Haines Junction,60.7522,-137.5108,39.15,41,97,6.91,CA,2022-04-02 20:39:46,overcast clouds
106,Aswan,24.0934,32.907,88.9,11,0,6.91,EG,2022-04-02 20:39:46,clear sky
107,Waddan,29.1614,16.139,74.79,15,76,13.8,LY,2022-04-02 20:39:46,broken clouds
108,Butaritari,3.0707,172.7902,81.52,77,86,16.8,KI,2022-04-02 20:36:41,overcast clouds
109,Rio Gallegos,-51.6226,-69.2181,51.85,58,75,23.02,AR,2022-04-02 20:34:57,broken clouds
110,Bambous Virieux,-20.3428,57.7575,75.45,94,75,11.5,MU,2022-04-02 20:39:47,moderate rain
111,Hermanus,-34.4187,19.2345,62.8,80,93,16.73,ZA,2022-04-02 20:39:47,overcast clouds
112,New Norfolk,-42.7826,147.0587,54.9,69,93,0.96,AU,2022-04-02 20:39:47,overcast clouds
113,Yongan,39.6957,113.6871,37.18,26,20,3.83,CN,2022-04-02 20:39:48,few clouds
114,Camacha,33.0833,-16.3333,58.42,77,40,12.66,PT,2022-04-02 20:35:29,scattered clouds
115,Tungor,53.3808,142.9564,17.38,92,63,6.15,RU,2022-04-02 20:39:48,broken clouds
116,Cape Town,-33.9258,18.4232,65.26,72,0,13.8,ZA,2022-04-02 20:37:01,clear sky
117,Mount Gambier,-37.8333,140.7667,53.51,94,100,6.91,AU,2022-04-02 20:39:49,overcast clouds
118,Thinadhoo,0.5333,72.9333,82.63,70,9,4.7,MV,2022-04-02 20:39:49,clear sky
119,Valparaiso,-33.0393,-71.6273,60.44,93,100,10.36,CL,2022-04-02 20:35:32,mist
120,Khatanga,71.9667,102.5,-1.62,98,100,7.16,RU,2022-04-02 20:39:49,overcast clouds
121,Kloulklubed,7.0419,134.2556,75.7,72,83,4.23,PW,2022-04-02 20:39:50,broken clouds
122,Kochevo,59.5994,54.3125,21.81,94,100,6.2,RU,2022-04-02 20:39:50,overcast clouds
123,Hailey,43.5196,-114.3153,53.46,17,0,17.27,US,2022-04-02 20:39:50,clear sky
124,Touros,-5.1989,-35.4608,80.42,80,94,11.83,BR,2022-04-02 20:39:51,overcast clouds
125,Galesong,-5.3166,119.3661,75.22,80,100,2.73,ID,2022-04-02 20:39:51,overcast clouds
126,Hami,42.8,93.45,51.82,18,64,6.69,CN,2022-04-02 20:39:51,broken clouds
127,Henties Bay,-22.116,14.2845,60.62,87,0,9.8,NA,2022-04-02 20:39:52,clear sky
128,Butler,39.4501,-84.5666,51.67,50,100,8.05,US,2022-04-02 20:37:59,overcast clouds
129,Bonavista,48.6499,-53.1147,36.16,87,100,24.07,CA,2022-04-02 20:39:52,overcast clouds
130,Ruteng,-8.6136,120.4721,60.55,93,20,1.68,ID,2022-04-02 20:39:53,few clouds
131,El Alto,-4.2714,-81.2147,82.06,72,55,14.16,PE,2022-04-02 20:39:53,broken clouds
132,Pisco,-13.7,-76.2167,73.45,68,0,23.02,PE,2022-04-02 20:39:53,clear sky
133,Northam,51.0333,-4.2167,40.39,75,19,4.38,GB,2022-04-02 20:39:54,few clouds
134,Dauphin,51.1494,-100.0502,33.94,60,100,4.61,CA,2022-04-02 20:39:54,overcast clouds
135,Iquitos,-3.7481,-73.2472,73.44,94,100,6.91,PE,2022-04-02 20:39:54,overcast clouds
136,Fortuna,40.5982,-124.1573,61.86,57,0,12.66,US,2022-04-02 20:39:55,clear sky
137,Ilebo,-4.3167,20.5833,68.5,99,100,0.85,CD,2022-04-02 20:39:55,overcast clouds
138,Mabaruma,8.2,-59.7833,76.28,94,86,6.02,GY,2022-04-02 20:40:56,overcast clouds
139,Pevek,69.7008,170.3133,-6.32,95,99,2.3,RU,2022-04-02 20:40:57,overcast clouds
140,Qasigiannguit,68.8193,-51.1922,34.05,90,87,3.02,GL,2022-04-02 20:40:57,overcast clouds
141,Opatija,45.3392,14.3083,45.28,81,100,3.78,HR,2022-04-02 20:40:57,overcast clouds
142,Grindavik,63.8424,-22.4338,46.35,100,100,14.97,IS,2022-04-02 20:40:58,light rain
143,Puerto Ayora,-0.7393,-90.3518,85.96,87,47,5.01,EC,2022-04-02 20:40:58,scattered clouds
144,Helena,46.5927,-112.0361,47.35,55,75,19.57,US,2022-04-02 20:40:58,broken clouds
145,Steamboat Springs,40.485,-106.8317,58.59,36,75,8.05,US,2022-04-02 20:40:59,broken clouds
146,Baghmara,23.795,86.2085,78.13,84,1,7.29,IN,2022-04-02 20:40:59,clear sky
147,Manavalakurichi,8.1333,77.3,79.84,82,13,5.79,IN,2022-04-02 20:40:59,few clouds
148,Sur,22.5667,59.5289,82.56,38,59,9.44,OM,2022-04-02 20:40:59,broken clouds
149,Sun City West,33.662,-112.3413,87.53,19,0,8.05,US,2022-04-02 20:41:00,clear sky
150,Severo-Kurilsk,50.6789,156.125,28.08,65,100,28.43,RU,2022-04-02 20:38:58,overcast clouds
151,Saint-Lo,49.1162,-1.0903,39.63,69,20,4.21,FR,2022-04-02 20:41:00,few clouds
152,Portland,45.5234,-122.6762,58.95,57,40,8.99,US,2022-04-02 20:41:01,scattered clouds
153,Tuatapere,-46.1333,167.6833,51.98,85,36,2.46,NZ,2022-04-02 20:41:02,scattered clouds
154,Douentza,14.9951,-2.9517,88.41,8,10,5.39,ML,2022-04-02 20:41:02,clear sky
155,Yulara,-25.2406,130.9889,55.24,47,0,3.44,AU,2022-04-02 20:41:03,clear sky
156,Comodoro Rivadavia,-45.8667,-67.5,73.26,35,20,10.36,AR,2022-04-02 20:41:03,few clouds
157,Sao Filipe,14.8961,-24.4956,71.44,80,31,5.55,CV,2022-04-02 20:41:04,scattered clouds
158,Eirunepe,-6.6603,-69.8736,77.04,76,96,2.39,BR,2022-04-02 20:41:04,overcast clouds
159,Fallon,39.4735,-118.7774,65.91,21,75,10.36,US,2022-04-02 20:41:04,broken clouds
160,Klaksvik,62.2266,-6.589,43.72,86,100,19.57,FO,2022-04-02 20:41:05,overcast clouds
161,Youkounkoun,12.5333,-13.1333,91.04,15,83,1.48,GN,2022-04-02 20:41:05,broken clouds
162,Lazaro Cardenas,17.9583,-102.2,80.85,56,90,11.97,MX,2022-04-02 20:41:05,overcast clouds
163,Hirara,24.8,125.2833,65.66,87,100,29.71,JP,2022-04-02 20:41:06,moderate rain
164,Saint-Francois,46.4154,3.9054,33.67,80,0,10.36,FR,2022-04-02 20:41:06,clear sky
165,Minden,52.2833,8.9167,34.99,55,74,2.3,DE,2022-04-02 20:41:06,broken clouds
166,Harpanahalli,14.8,75.9833,75.49,69,12,6.93,IN,2022-04-02 20:41:07,few clouds
167,Lasa,46.6166,10.7002,32.88,94,97,6.93,IT,2022-04-02 20:41:07,overcast clouds
168,Thompson,55.7435,-97.8558,28.56,43,75,4.61,CA,2022-04-02 20:36:49,broken clouds
169,Belyy Yar,53.6039,91.3903,34.86,93,40,6.71,RU,2022-04-02 20:41:08,snow
170,Enid,36.3956,-97.8784,68.16,31,0,11.5,US,2022-04-02 20:41:08,clear sky
171,Sabha,27.0377,14.4283,79.09,14,100,10.85,LY,2022-04-02 20:41:08,overcast clouds
172,Brae,60.3964,-1.353,39.56,66,90,12.28,GB,2022-04-02 20:41:09,overcast clouds
173,Melfi,40.9965,15.6514,39.49,82,49,12.44,IT,2022-04-02 20:41:09,scattered clouds
174,Saldanha,-33.0117,17.9442,66.25,73,0,14.94,ZA,2022-04-02 20:41:09,clear sky
175,Alamos,27.0167,-108.9333,89.19,12,3,7.92,MX,2022-04-02 20:41:10,clear sky
176,Nikolskoye,59.7035,30.7861,28.8,95,8,3.47,RU,2022-04-02 20:41:10,clear sky
177,Dawlatabad,36.4141,64.9053,60.42,30,0,4.61,AF,2022-04-02 20:41:10,clear sky
178,Gradignan,44.7726,-0.6139,43.34,62,75,14.97,FR,2022-04-02 20:41:11,broken clouds
179,Evensk,61.95,159.2333,17.74,80,99,9.46,RU,2022-04-02 20:41:11,overcast clouds
180,Sucua,-2.4667,-78.1667,77.74,69,40,9.22,EC,2022-04-02 20:41:11,moderate rain
181,Banda Aceh,5.5577,95.3222,79.2,81,100,3.74,ID,2022-04-02 20:41:12,overcast clouds
182,Carnarvon,-24.8667,113.6333,75.27,88,11,5.75,AU,2022-04-02 20:42:12,few clouds
183,Moron,-34.6534,-58.6198,71.96,50,0,8.1,AR,2022-04-02 20:42:13,clear sky
184,Kahului,20.8947,-156.47,80.62,69,40,26.46,US,2022-04-02 20:39:22,scattered clouds
185,Faanui,-16.4833,-151.75,81.9,75,69,9.64,PF,2022-04-02 20:40:26,broken clouds
186,San Ignacio,17.1561,-89.0714,96.94,44,40,0.0,BZ,2022-04-02 20:42:13,scattered clouds
187,Chimoio,-19.1164,33.4833,71.46,100,75,2.24,MZ,2022-04-02 20:40:58,broken clouds
188,Port Lincoln,-34.7333,135.8667,59.32,82,26,6.64,AU,2022-04-02 20:42:14,scattered clouds
189,Leningradskiy,69.3833,178.4167,-6.16,97,100,10.49,RU,2022-04-02 20:42:14,overcast clouds
190,Longyearbyen,78.2186,15.6401,1.24,71,20,9.22,SJ,2022-04-02 20:42:14,few clouds
191,Vila,42.0304,-8.1588,41.88,75,0,5.32,PT,2022-04-02 20:38:36,clear sky
192,Yar-Sale,66.8333,70.8333,-0.96,95,15,8.23,RU,2022-04-02 20:42:15,few clouds
193,Katsuura,35.1333,140.3,52.47,70,100,9.62,JP,2022-04-02 20:42:15,moderate rain
194,Meulaboh,4.1363,96.1285,77.47,85,97,1.61,ID,2022-04-02 20:42:15,overcast clouds
195,Naze,28.3667,129.4833,61.72,70,98,15.35,JP,2022-04-02 20:42:16,overcast clouds
196,Berdigestyakh,62.0989,126.6992,18.57,96,100,5.44,RU,2022-04-02 20:42:16,light snow
197,Serik,36.9169,31.0989,60.75,57,67,5.7,TR,2022-04-02 20:42:17,broken clouds
198,Salalah,17.0151,54.0924,78.89,89,0,2.3,OM,2022-04-02 20:42:17,clear sky
199,Taboga,46.2663,13.1092,44.47,80,100,5.39,IT,2022-04-02 20:42:17,overcast clouds
200,Mahebourg,-20.4081,57.7,75.49,94,75,11.5,MU,2022-04-02 20:42:18,light rain
201,Port Hardy,50.6996,-127.4199,44.78,87,100,5.75,CA,2022-04-02 20:42:18,light rain
202,Kovernino,57.1253,43.8142,31.41,97,100,11.56,RU,2022-04-02 20:42:18,overcast clouds
203,Toropets,56.4978,31.6353,28.2,84,100,11.12,RU,2022-04-02 20:42:19,overcast clouds
204,Muli,2.9167,73.5667,82.4,69,21,3.06,MV,2022-04-02 20:39:09,few clouds
205,Calvinia,-31.4707,19.776,61.02,57,4,10.83,ZA,2022-04-02 20:42:19,clear sky
206,Manaskent,42.7275,47.6785,43.97,93,3,4.47,RU,2022-04-02 20:42:20,clear sky
207,Coihaique,-45.5752,-72.0662,49.95,62,75,8.05,CL,2022-04-02 20:42:20,broken clouds
208,Umtata,-31.5889,28.7844,60.12,99,100,4.21,ZA,2022-04-02 20:42:20,light rain
209,Uddevalla,58.3478,11.9424,36.07,77,21,4.34,SE,2022-04-02 20:42:21,few clouds
210,Banjar,-8.19,114.9675,75.78,89,43,4.34,ID,2022-04-02 20:42:21,scattered clouds
211,Verkhnetulomskiy,68.6073,31.7962,14.13,95,100,3.62,RU,2022-04-02 20:42:21,overcast clouds
212,Sao Joao Da Barra,-21.6403,-41.0511,82.49,83,16,7.05,BR,2022-04-02 20:40:24,few clouds
213,Srivardhan,18.0333,73.0167,77.2,75,100,1.92,IN,2022-04-02 20:42:23,overcast clouds
214,Kazerun,29.6195,51.6541,68.09,24,21,2.3,IR,2022-04-02 20:42:23,few clouds
215,Luderitz,-26.6481,15.1594,60.62,80,0,13.49,NA,2022-04-02 20:42:24,clear sky
216,Erenhot,43.6475,111.9767,41.05,30,3,16.75,CN,2022-04-02 20:42:24,clear sky
217,Mayya,61.7333,130.2811,18.72,96,100,4.25,RU,2022-04-02 20:42:24,overcast clouds
218,La Palma,33.8464,-118.0467,70.9,69,100,4.0,US,2022-04-02 20:42:25,haze
219,Tabou,4.423,-7.3528,79.27,87,100,8.93,CI,2022-04-02 20:42:25,light rain
220,Dombarovskiy,50.7587,59.5386,35.47,100,100,8.72,RU,2022-04-02 20:42:25,overcast clouds
221,Cayenne,4.9333,-52.3333,80.1,1,75,1.01,GF,2022-04-02 20:42:25,light rain
222,Matara,5.9485,80.5353,75.78,89,19,2.95,LK,2022-04-02 20:42:26,few clouds
223,Novikovo,51.1537,37.8879,49.41,87,74,18.95,RU,2022-04-02 20:42:26,light rain
224,Saint-Pierre,-21.3393,55.4781,76.68,87,75,8.05,RE,2022-04-02 20:42:27,broken clouds
225,Huangnihe,43.5583,128.0239,32.58,53,24,4.21,CN,2022-04-02 20:42:27,few clouds
226,Vesyegonsk,58.664,37.2604,24.35,90,100,8.9,RU,2022-04-02 20:42:27,overcast clouds
227,Cabedelo,-6.9811,-34.8339,83.07,77,61,12.03,BR,2022-04-02 20:42:28,broken clouds
